序号,域名,注册人,邮箱,电话,注册商,DNS,创建时间,过期时间
29,lredodvkxe.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns4.hichina.com/dns3.hichina.com,2024-11-11 10:30:36,2025-11-11 10:30:36
30,wtxzllltfc.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns25.hichina.com/dns26.hichina.com,2024-11-11 10:30:36,2025-11-11 10:30:36
31,bybestwumnve.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns29.hichina.com/dns30.hichina.com,2024-11-11 10:30:36,2025-11-11 10:30:36
32,puvsittcrzgo.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns17.hichina.com/dns18.hichina.com,2024-11-11 10:30:35,2025-11-11 10:30:35
33,moxiutshbnv.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns31.hichina.com/dns32.hichina.com,2024-11-11 10:30:35,2025-11-11 10:30:35
34,aqnhxpsrup.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns4.hichina.com/dns3.hichina.com,2024-11-11 10:30:35,2025-11-11 10:30:35
35,bexjlfpqino.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns1.hichina.com/dns2.hichina.com,2024-11-11 10:30:35,2025-11-11 10:30:35
36,fjgtmopwhbbu.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns21.hichina.com/dns22.hichina.com,2024-11-11 10:30:35,2025-11-11 10:30:35
37,qxzfuizhshi.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns11.hichina.com/dns12.hichina.com,2024-11-11 10:30:35,2025-11-11 10:30:35
38,cjznkctstp.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns4.hichina.com/dns3.hichina.com,2024-11-11 10:30:34,2025-11-11 10:30:34
39,paybszpvdqzn.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns25.hichina.com/dns26.hichina.com,2024-11-11 10:30:34,2025-11-11 10:30:34
40,xfyktuskqsft.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns19.hichina.com/dns20.hichina.com,2024-11-11 10:30:34,2025-11-11 10:30:34
41,fbbicpyggu.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns7.hichina.com/dns8.hichina.com,2024-11-11 10:30:34,2025-11-11 10:30:34
42,ylnwoqpzooo.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns27.hichina.com/dns28.hichina.com,2024-11-11 10:30:34,2025-11-11 10:30:34
43,dgnackhfkgiz.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns15.hichina.com/dns16.hichina.com,2024-11-11 10:30:33,2025-11-11 10:30:33
44,rbhyojxwpkd.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns25.hichina.com/dns26.hichina.com,2024-11-11 10:30:33,2025-11-11 10:30:33
45,crhlggdlbdfs.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns4.hichina.com/dns3.hichina.com,2024-11-11 10:30:33,2025-11-11 10:30:33
46,akwxxnmnjs.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns15.hichina.com/dns16.hichina.com,2024-11-11 10:30:33,2025-11-11 10:30:33
47,mgpufwxtvw.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns11.hichina.com/dns12.hichina.com,2024-11-11 10:30:33,2025-11-11 10:30:33
48,dujmvwbmowx.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns4.hichina.com/dns3.hichina.com,2024-11-11 10:30:33,2025-11-11 10:30:33
49,fgiynkotpu.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns11.hichina.com/dns12.hichina.com,2024-11-11 10:30:33,2025-11-11 10:30:33
50,ohhvcixtcckg.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns13.hichina.com/dns14.hichina.com,2024-11-11 10:30:33,2025-11-11 10:30:33
51,qmpibbwnxrae.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns15.hichina.com/dns16.hichina.com,2024-11-11 10:30:33,2025-11-11 10:30:33
52,cpejsmeussgw.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns29.hichina.com/dns30.hichina.com,2024-11-11 10:30:33,2025-11-11 10:30:33
53,kopqechwmd.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns29.hichina.com/dns30.hichina.com,2024-11-11 10:30:32,2025-11-11 10:30:32
54,bijfiluzym.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns7.hichina.com/dns8.hichina.com,2024-11-11 10:30:32,2025-11-11 10:30:32
55,agkpkyeqfh.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns27.hichina.com/dns28.hichina.com,2024-11-11 10:30:32,2025-11-11 10:30:32
56,dsqjzfoanub.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns19.hichina.com/dns20.hichina.com,2024-11-11 10:30:32,2025-11-11 10:30:32
57,fbnopbzezvwj.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns11.hichina.com/dns12.hichina.com,2024-11-11 10:30:32,2025-11-11 10:30:32
58,ldbmvrqohw.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns13.hichina.com/dns14.hichina.com,2024-11-11 10:30:32,2025-11-11 10:30:32
59,bzhrkfaplgnd.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns9.hichina.com/dns10.hichina.com,2024-11-11 10:30:32,2025-11-11 10:30:32
60,kiqjjmbdbu.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns1.hichina.com/dns2.hichina.com,2024-11-11 10:30:32,2025-11-11 10:30:32
61,dmsaxzsospm.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns29.hichina.com/dns30.hichina.com,2024-11-11 10:30:31,2025-11-11 10:30:31
62,gmxoxovybp.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns7.hichina.com/dns8.hichina.com,2024-11-11 10:30:31,2025-11-11 10:30:31
63,fjnvcherxjgy.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns31.hichina.com/dns32.hichina.com,2024-11-11 10:30:31,2025-11-11 10:30:31
64,fxwgkbfcxbb.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns27.hichina.com/dns28.hichina.com,2024-11-11 10:30:31,2025-11-11 10:30:31
65,emswmajfwl.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns17.hichina.com/dns18.hichina.com,2024-11-11 10:30:31,2025-11-11 10:30:31
66,breselzjqxv.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns21.hichina.com/dns22.hichina.com,2024-11-11 10:30:21,2025-11-11 10:30:21
67,beatvjmryog.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns17.hichina.com/dns18.hichina.com,2024-11-11 10:30:21,2025-11-11 10:30:21
68,tvsprsjrgh.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns21.hichina.com/dns22.hichina.com,2024-11-11 10:30:20,2025-11-11 10:30:20
69,mpfbzvgttkgg.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns19.hichina.com/dns20.hichina.com,2024-11-11 10:30:20,2025-11-11 10:30:20
70,eqccnoetlzy.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns29.hichina.com/dns30.hichina.com,2024-11-11 10:30:20,2025-11-11 10:30:20
71,fxumzhgztngn.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns13.hichina.com/dns14.hichina.com,2024-11-11 10:30:19,2025-11-11 10:30:19
72,brzfkofuri.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns21.hichina.com/dns22.hichina.com,2024-11-11 10:30:19,2025-11-11 10:30:19
73,kaqfmyvqpldt.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns4.hichina.com/dns3.hichina.com,2024-11-11 10:30:19,2025-11-11 10:30:19
74,ffmbvmhgdr.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns19.hichina.com/dns20.hichina.com,2024-11-11 10:30:19,2025-11-11 10:30:19
75,axqcgwhjzc.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns31.hichina.com/dns32.hichina.com,2024-11-11 10:30:19,2025-11-11 10:30:19
76,qtqjmhqeubk.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns1.hichina.com/dns2.hichina.com,2024-11-11 10:30:19,2025-11-11 10:30:19
77,gupyvywqqlha.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns17.hichina.com/dns18.hichina.com,2024-11-11 10:30:19,2025-11-11 10:30:19
78,gbkxqznxslun.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns31.hichina.com/dns32.hichina.com,2024-11-11 10:30:19,2025-11-11 10:30:19
79,zpzgsoifxqf.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns23.hichina.com/dns24.hichina.com,2024-11-11 10:30:18,2025-11-11 10:30:18
80,dwdsagfqnn.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns29.hichina.com/dns30.hichina.com,2024-08-27 14:35:57,2025-08-27 14:35:57
81,poqbehsujj.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns15.hichina.com/dns16.hichina.com,2024-08-27 14:35:56,2025-08-27 14:35:56
82,pngcepwfcegi.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns9.hichina.com/dns10.hichina.com,2024-08-27 14:35:56,2025-08-27 14:35:56
83,kztudrbhxmff.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns13.hichina.com/dns14.hichina.com,2024-08-27 14:35:56,2025-08-27 14:35:56
84,zsbxuterdk.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns7.hichina.com/dns8.hichina.com,2024-08-27 14:35:56,2025-08-27 14:35:56
85,zzlzhdygjb.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns15.hichina.com/dns16.hichina.com,2024-08-27 14:35:56,2025-08-27 14:35:56
86,xfiejvwuvayn.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns1.hichina.com/dns2.hichina.com,2024-08-27 14:35:56,2025-08-27 14:35:56
87,dloauwoegme.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,,2024-08-27 14:35:55,2025-08-27 14:35:55
88,cabrvgemmef.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns27.hichina.com/dns28.hichina.com,2024-08-27 14:35:55,2025-08-27 14:35:55
89,enogiwmpdsk.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns1.hichina.com/dns2.hichina.com,2024-08-27 14:35:55,2025-08-27 14:35:55
90,fhsazxxnubh.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns27.hichina.com/dns28.hichina.com,2024-08-27 14:35:55,2025-08-27 14:35:55
91,cudaektmkpgx.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns4.hichina.com/dns3.hichina.com,2024-08-27 14:21:54,2025-08-27 14:21:54
92,dhghdneiws.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns31.hichina.com/dns32.hichina.com,2024-08-27 14:21:54,2025-08-27 14:21:54
93,mxfmlmfogi.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns27.hichina.com/dns28.hichina.com,2024-08-27 14:21:54,2025-08-27 14:21:54
94,bwvgbccigm.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns19.hichina.com/dns20.hichina.com,2024-08-27 14:21:54,2025-08-27 14:21:54
95,disdtumqooi.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns29.hichina.com/dns30.hichina.com,2024-08-27 14:21:54,2025-08-27 14:21:54
96,klkktqhjwm.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns25.hichina.com/dns26.hichina.com,2024-08-27 14:21:54,2025-08-27 14:21:54
97,epprbhlpzu.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns23.hichina.com/dns24.hichina.com,2024-08-27 14:21:53,2025-08-27 14:21:53
98,ahndsnugvvxy.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns19.hichina.com/dns20.hichina.com,2024-08-27 14:21:53,2025-08-27 14:21:53
99,rcphrcvjzjha.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns21.hichina.com/dns22.hichina.com,2024-08-27 14:21:53,2025-08-27 14:21:53
100,umnojbwyoz.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns19.hichina.com/dns20.hichina.com,2024-08-27 14:21:53,2025-08-27 14:21:53
101,ddmohhjxsdc.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns25.hichina.com/dns26.hichina.com,2024-08-27 14:21:53,2025-08-27 14:21:53
102,dbczjngzrjz.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,,2024-08-27 14:21:53,2025-08-27 14:21:53
103,bdnisvskuhto.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns1.hichina.com/dns2.hichina.com,2024-08-27 14:21:53,2025-08-27 14:21:53
104,kdpdnvsizy.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns15.hichina.com/dns16.hichina.com,2024-08-27 14:21:53,2025-08-27 14:21:53
105,covsxsafqnq.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns4.hichina.com/dns3.hichina.com,2024-08-27 14:21:53,2025-08-27 14:21:53
106,fnktjbwdortx.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns31.hichina.com/dns32.hichina.com,2024-07-22 10:35:12,2025-07-22 10:35:12
107,pjmhzspyeahg.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns9.hichina.com/dns10.hichina.com,2021-08-11 01:21:32,2026-08-11 01:21:32
108,jgryxcgqxd.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns25.hichina.com/dns26.hichina.com,2021-08-11 01:19:06,2026-08-11 01:19:06
109,evdptsfuyw.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns27.hichina.com/dns28.hichina.com,2021-08-11 01:19:04,2026-08-11 01:19:04
110,gimcpsgvqbs.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns17.hichina.com/dns18.hichina.com,2021-08-11 01:08:31,2026-08-11 01:08:31
111,oluacksnwr.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns15.hichina.com/dns16.hichina.com,2021-08-11 00:00:00,2022-08-11 00:00:00
112,mcvnkvpgbo.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns31.hichina.com/dns32.hichina.com,2021-08-11 00:00:00,2022-08-11 00:00:00
113,mprrlndlprwy.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns17.hichina.com/dns18.hichina.com,2021-08-11 00:00:00,2022-08-11 00:00:00
114,nhklytuwvhmj.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns15.hichina.com/dns16.hichina.com,2021-08-11 00:00:00,2022-08-11 00:00:00
115,ybergmhbso.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns1.hichina.com/dns2.hichina.com,2021-08-10 23:58:59,2026-08-10 23:58:59
116,mwodqcvpddt.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns7.hichina.com/dns8.hichina.com,2021-08-10 16:00:00,2022-08-10 16:00:00
117,jqzwwywbps.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns1.hichina.com/dns2.hichina.com,2021-08-10 16:00:00,2022-08-10 16:00:00
118,asdizeqt.cn,上海澍慧科技有限公司,*****un8342@163.com,,阿里云计算有限公司（万网）,dns27.hichina.com/dns28.hichina.com,2021-06-22 15:13:19,2026-06-22 15:13:19
